City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
thai binh,VN,20.45,106.33,1553752800.0,75.0,78.0,80.6,11.41
klyuchi,RU,52.25,79.17,1553755928.0,0.0,63.0,38.78,11.65
ulundi,ZA,-28.29,31.43,1553755928.0,44.0,88.0,61.91,3.6
shimoda,JP,34.7,138.93,1553752800.0,75.0,37.0,66.2,13.87
ushibuka,JP,32.19,130.02,1553755929.0,36.0,86.0,62.54,3.71
rawalpindi,PK,33.6,73.06,1553755764.0,24.0,41.0,81.0,5.01
igra,RU,57.55,53.1,1553755512.0,92.0,86.0,36.0,1.99
saint george,GR,39.45,22.34,1553755400.0,75.0,66.0,53.6,18.34
dickinson,US,46.88,-102.79,1553755927.0,90.0,74.0,37.0,3.36
birjand,IR,32.86,59.22,1553752800.0,0.0,42.0,64.4,4.7
igarka,RU,67.47,86.57,1553755931.0,92.0,98.0,32.57,14.34
maceio,BR,-9.67,-35.74,1553752800.0,40.0,88.0,75.2,3.36
serrinha,BR,-11.66,-39.0,1553755932.0,36.0,98.0,71.18,5.61
nasirabad,IN,26.3,74.74,1553755933.0,20.0,35.0,93.14,4.38
basoko,CD,1.23,23.61,1553755933.0,48.0,98.0,74.42,3.94
ilihan,PH,10.91,123.97,1553752800.0,20.0,58.0,87.8,13.87
brae,GB,60.4,-1.35,1553754000.0,75.0,87.0,48.2,32.21
eydhafushi,MV,5.1,73.07,1553755934.0,0.0,100.0,84.14,7.18
tiznit,MA,29.7,-9.73,1553755934.0,76.0,96.0,54.17,2.93
saint-pierre,FR,48.95,4.24,1553755924.0,8.0,75.0,36.0,8.05
leningradskiy,RU,69.38,178.42,1553755936.0,76.0,86.0,17.72,22.06
tateyama,JP,36.66,137.31,1553755212.0,75.0,61.0,53.01,3.36
new castle,US,41.0,-80.35,1553755635.0,1.0,35.0,44.6,5.82
alugan,PH,12.22,125.48,1553755937.0,44.0,87.0,81.62,10.65
bodaybo,RU,57.85,114.2,1553755937.0,68.0,61.0,23.75,2.93
hereford,GB,52.06,-2.72,1553755930.0,0.0,94.0,42.01,2.71
artvin,TR,41.18,41.83,1553752800.0,75.0,93.0,46.4,12.75
killam,CA,52.79,-111.86,1553755938.0,0.0,69.0,18.62,3.27
tulun,RU,54.56,100.58,1553755938.0,0.0,53.0,34.37,3.49
oktyabrskoye,RU,56.73,85.44,1553755823.0,40.0,60.0,41.0,6.71
copiapo,CL,-27.37,-70.33,1553752800.0,20.0,81.0,53.6,3.36
vurnary,RU,55.49,46.95,1553755939.0,92.0,93.0,33.56,5.39
porto velho,BR,-8.75,-63.87,1553752800.0,20.0,94.0,77.0,2.24
northam,GB,51.04,-4.21,1553755931.0,90.0,100.0,42.01,4.7
maniitsoq,GL,65.42,-52.9,1553755940.0,36.0,80.0,7.82,4.05
lichinga,MZ,-13.3,35.25,1553752800.0,40.0,93.0,66.2,16.11
velingrad,BG,42.03,23.99,1553755865.0,75.0,96.0,44.6,13.87
samana,EC,0.12,-76.97,1553755941.0,92.0,98.0,71.72,2.37
basco,US,40.33,-91.2,1553755835.0,90.0,54.0,59.0,11.41
ucluelet,CA,48.94,-125.55,1553755653.0,12.0,84.0,48.0,2.59
berezovyy,RU,51.67,135.7,1553755942.0,56.0,55.0,23.03,5.28
kiunga,PG,-6.12,141.3,1553755943.0,8.0,59.0,91.07,2.93
port macquarie,AU,-31.43,152.91,1553755805.0,80.0,53.0,75.99,10.29
yar-sale,RU,66.83,70.83,1553755863.0,12.0,94.0,24.65,10.65
banjar,ID,-7.37,108.54,1553755944.0,44.0,74.0,85.4,3.71
katsuura,JP,33.93,134.5,1553754870.0,75.0,55.0,62.6,10.29
daru,SL,7.99,-10.85,1553755944.0,88.0,94.0,72.26,2.71
miraflores,CO,5.2,-73.14,1553755945.0,92.0,100.0,51.92,1.81
kikwit,CD,-5.04,18.82,1553755945.0,80.0,98.0,71.27,4.61
zhezkazgan,KZ,47.8,67.71,1553752800.0,90.0,100.0,46.4,15.66
ondjiva,AO,-17.07,15.73,1553755946.0,68.0,63.0,75.59,3.04
cap-aux-meules,CA,47.38,-61.86,1553752800.0,5.0,73.0,24.8,13.87
galveston,US,40.58,-86.19,1553755925.0,90.0,81.0,48.2,6.93
boz,FR,46.41,4.91,1553755611.0,0.0,92.0,41.0,2.24
marsh harbour,BS,26.54,-77.06,1553755947.0,0.0,100.0,68.12,9.53
hornepayne,CA,49.22,-84.78,1553755947.0,92.0,94.0,44.18,11.54
hanyang,CN,32.14,105.51,1553755812.0,0.0,34.0,75.0,0.92
padang,ID,-0.92,100.36,1553755948.0,56.0,100.0,82.88,3.83
zamardi,HU,46.88,17.95,1553753700.0,0.0,86.0,37.4,2.24
waingapu,ID,-9.65,120.26,1553755949.0,80.0,81.0,82.79,4.16
luhyny,UA,51.08,28.4,1553755949.0,76.0,75.0,31.58,4.61
taree,AU,-31.91,152.46,1553755895.0,56.0,53.0,75.2,10.29
comodoro rivadavia,AR,-45.87,-67.48,1553752800.0,0.0,52.0,68.0,3.36
ponta delgada,PT,37.73,-25.67,1553755945.0,20.0,76.0,55.4,10.29
karratha,AU,-20.74,116.85,1553755768.0,0.0,67.0,91.7,5.39
whitehorse,CA,60.72,-135.06,1553755924.0,20.0,55.0,33.8,4.7
beaune,FR,47.02,4.84,1553755611.0,0.0,76.0,41.0,9.17
liverpool,GB,53.41,-2.98,1553755929.0,40.0,93.0,46.4,3.36
gamba,CN,28.28,88.52,1553755952.0,0.0,92.0,26.27,3.71
buala,SB,-8.15,159.59,1553755952.0,20.0,86.0,84.5,3.71
muros,ES,42.77,-9.06,1553755928.0,0.0,85.0,55.99,1.12
qasigiannguit,GL,68.82,-51.19,1553752200.0,68.0,65.0,8.6,16.11
petauke,ZM,-14.25,31.33,1553755953.0,0.0,70.0,73.7,10.87
honiara,SB,-9.43,159.96,1553755954.0,64.0,74.0,83.15,1.25
ostrovnoy,RU,68.05,39.51,1553755954.0,8.0,87.0,25.37,15.35
mombetsu,JP,44.35,143.35,1553755867.0,75.0,86.0,30.0,11.41
borskoye,RU,53.03,51.7,1553755955.0,32.0,99.0,32.57,7.85
paraiso,MX,24.01,-104.61,1553755817.0,12.0,35.0,62.01,7.0
batagay-alyta,RU,67.8,130.41,1553755956.0,0.0,71.0,17.81,4.16
karlskrona,SE,56.16,15.59,1553754000.0,0.0,100.0,33.8,3.36
aleppo,SY,36.2,37.17,1553755956.0,0.0,94.0,53.45,7.4
bereda,ES,43.27,-7.54,1553755804.0,0.0,70.0,51.01,2.24
la ronge,CA,55.1,-105.3,1553754060.0,90.0,62.0,24.8,8.05
chulumani,BO,-16.41,-67.53,1553755958.0,76.0,100.0,53.27,1.25
codrington,AU,-28.95,153.24,1553755833.0,90.0,61.0,77.0,14.99
palmer,AU,-34.85,139.16,1553755615.0,0.0,23.0,82.99,9.17
lakselv,NO,70.05,24.96,1553755807.0,75.0,59.0,35.6,51.67
nizhniy bestyakh,RU,61.96,129.91,1553751000.0,0.0,47.0,15.8,4.47
amol,IR,36.47,52.35,1553755960.0,44.0,100.0,53.09,5.06
bundaberg,AU,-24.87,152.35,1553755517.0,75.0,88.0,73.0,14.99
san jose,PH,15.79,120.99,1553755860.0,0.0,54.0,88.37,3.04
moussoro,TD,13.64,16.49,1553755962.0,0.0,16.0,76.13,14.0
nelson bay,AU,-32.72,152.14,1553755839.0,0.0,50.0,77.0,11.41
beloha,MG,-25.17,45.06,1553755962.0,20.0,63.0,80.18,13.44
zemetchino,RU,53.5,42.62,1553755963.0,0.0,90.0,21.14,7.18
auki,NG,12.18,6.51,1553755963.0,8.0,28.0,69.47,11.21
chenghai,CN,23.46,116.77,1553752800.0,40.0,62.0,84.2,6.71
sabalgarh,IN,26.25,77.41,1553755964.0,0.0,34.0,91.79,6.4
cairns,AU,-16.92,145.77,1553755518.0,64.0,79.0,86.0,8.05
male,UA,50.74,33.7,1553755965.0,0.0,82.0,29.42,8.75
fort-shevchenko,KZ,44.51,50.26,1553755965.0,0.0,90.0,46.07,9.86
lensk,RU,60.71,114.91,1553755965.0,48.0,68.0,27.26,3.49
cangzhou,CN,38.3,116.85,1553755966.0,88.0,62.0,45.08,14.56
taman,RU,45.22,36.72,1553752800.0,75.0,80.0,41.0,15.66
lencois paulista,BR,-22.6,-48.8,1553755549.0,0.0,100.0,68.0,6.93
cortez,US,37.35,-108.58,1553755919.0,1.0,52.0,46.4,4.7
tomigusuku,JP,26.18,127.67,1553754600.0,75.0,78.0,77.0,18.34
san quintin,PH,17.54,120.52,1553755889.0,0.0,43.0,87.74,7.18
pouembout,NC,-21.12,164.9,1553755967.0,68.0,56.0,80.0,5.73
mayumba,GA,-3.44,10.65,1553755968.0,80.0,100.0,74.96,6.17
buraydah,SA,26.33,43.97,1553752800.0,0.0,37.0,66.2,9.17
jaora,IN,23.64,75.13,1553755968.0,0.0,33.0,94.76,4.38
kajaani,FI,64.22,27.73,1553754000.0,0.0,79.0,28.4,6.93
moses lake,US,47.13,-119.28,1553755819.0,90.0,61.0,48.2,5.82
solnechnyy,RU,50.72,136.64,1553755969.0,24.0,64.0,24.29,8.41
phan thiet,VN,10.93,108.1,1553755897.0,32.0,75.0,86.75,11.99
vestmannaeyjar,IS,63.44,-20.27,1553752800.0,75.0,100.0,32.0,13.87
corning,US,42.14,-77.05,1553755937.0,1.0,37.0,39.2,3.36
boa vista,BR,2.82,-60.67,1553752800.0,0.0,61.0,82.4,8.05
mana,RS,43.52,20.24,1553754600.0,0.0,59.0,33.8,1.12
isiro,CD,2.77,27.62,1553755972.0,64.0,90.0,72.08,2.71
novikovo,UA,45.05,34.56,1553755864.0,56.0,100.0,36.17,12.21
nabire,ID,-3.36,135.5,1553755973.0,32.0,88.0,79.19,1.92
manyana,AU,-35.26,150.51,1553755926.0,40.0,57.0,75.2,13.87
develi,TR,38.39,35.49,1553754000.0,20.0,60.0,41.0,4.7
kavaratti,IN,10.57,72.64,1553755921.0,36.0,100.0,83.06,3.38
rodrigues alves,BR,-7.74,-72.65,1553752800.0,90.0,94.0,75.2,4.61
san rafael,AR,-34.61,-68.33,1553755975.0,8.0,78.0,56.15,7.4
peterhead,AU,-34.83,138.5,1553755961.0,0.0,23.0,82.99,9.17
shache,CN,38.42,77.24,1553755976.0,24.0,29.0,67.4,4.94
moree,AU,-29.46,149.84,1553755559.0,40.0,30.0,86.0,5.82
wasilla,US,61.58,-149.44,1553755882.0,90.0,90.0,43.0,2.93
mount isa,AU,-20.73,139.49,1553752800.0,90.0,61.0,80.6,12.75
belmonte,PT,40.36,-7.35,1553755545.0,0.0,51.0,44.01,4.0
srivardhan,IN,18.03,73.02,1553755977.0,0.0,65.0,89.09,3.38
feijo,EC,-3.63,-79.92,1553755978.0,100.0,97.0,66.14,2.37
anadyr,RU,64.73,177.51,1553755946.0,90.0,85.0,17.6,13.42
necochea,AR,-38.55,-58.74,1553755904.0,0.0,89.0,54.0,1.01
aykhal,RU,65.95,111.51,1553755979.0,0.0,81.0,29.33,4.94
bandarbeyla,SO,9.49,50.81,1553755894.0,0.0,100.0,79.28,5.84
pemba,MZ,-12.97,40.52,1553752800.0,20.0,83.0,80.6,5.82
peniche,PT,39.36,-9.38,1553755856.0,20.0,87.0,51.01,5.82
usinsk,RU,66.0,57.56,1553755981.0,36.0,98.0,28.88,5.17
khandyga,RU,62.65,135.58,1553755981.0,0.0,51.0,17.99,3.38
high level,CA,58.52,-117.13,1553752800.0,1.0,68.0,30.2,2.24
sao jose da coroa grande,BR,-8.9,-35.15,1553755982.0,88.0,100.0,76.67,4.83
taltal,CL,-25.41,-70.49,1553755982.0,0.0,85.0,52.73,3.83
xinzhi,TW,22.54,120.62,1553755594.0,75.0,66.0,84.2,12.75
erenhot,CN,43.65,111.97,1553755983.0,0.0,36.0,41.12,8.41
sorland,NO,67.67,12.69,1553754000.0,40.0,87.0,42.8,26.4
linkou,CN,45.29,130.27,1553755984.0,32.0,34.0,31.31,8.52
lagoa,PT,37.14,-8.45,1553755632.0,0.0,58.0,55.4,16.11
kachiry,KZ,53.07,76.1,1553755985.0,0.0,92.0,37.34,9.19
gull lake,CA,50.1,-108.48,1553752800.0,90.0,79.0,28.4,4.7
san cristobal,EC,-0.39,-78.55,1553754604.0,75.0,100.0,57.2,3.36
talnakh,RU,69.49,88.39,1553755987.0,92.0,99.0,27.8,13.0
ferme-neuve,CA,46.7,-75.45,1553755987.0,48.0,57.0,29.51,9.98
katherine,AU,-14.47,132.26,1553752800.0,40.0,43.0,89.6,6.93
chalmette,US,29.94,-89.96,1553755749.0,90.0,76.0,59.0,5.95
krasnogorskoye,RU,57.7,52.5,1553755988.0,92.0,94.0,34.37,6.17
crotone,IT,39.09,17.12,1553755989.0,92.0,100.0,54.08,14.0
henties bay,NA,-22.12,14.28,1553752934.0,64.0,93.0,62.01,3.0
kattivakkam,IN,13.22,80.32,1553754830.0,0.0,39.0,95.0,11.41
mnogovershinnyy,RU,53.94,139.92,1553755990.0,80.0,66.0,20.6,7.4
jiwani,PK,25.05,61.74,1553755990.0,36.0,77.0,78.92,3.38
petit goave,HT,18.43,-72.87,1553755517.0,92.0,92.0,73.0,3.15
vulcan,CA,50.4,-113.26,1553755759.0,24.0,87.0,28.0,1.01
lunsar,SL,8.69,-12.54,1553755992.0,32.0,87.0,75.77,3.27
sioux lookout,CA,50.1,-91.92,1553753520.0,90.0,86.0,33.8,9.17
bambanglipuro,ID,-7.95,110.28,1553755992.0,32.0,85.0,84.32,6.17
ust-koksa,RU,50.27,85.62,1553755993.0,0.0,69.0,36.8,2.59
chiredzi,ZW,-21.05,31.67,1553755698.0,0.0,80.0,72.89,3.6
ubon ratchathani,TH,15.23,104.86,1553752800.0,40.0,49.0,93.2,8.05
assomada,CV,15.1,-23.68,1553752800.0,40.0,72.0,66.2,6.93
tanout,NE,14.97,8.88,1553755994.0,0.0,28.0,66.5,8.52
coahuayana,MX,18.62,-100.35,1553755995.0,0.0,50.0,57.5,2.71
jardim,BR,-21.48,-56.15,1553755995.0,0.0,70.0,69.92,5.73
severodvinsk,RU,64.56,39.82,1553752800.0,75.0,79.0,28.4,6.71
marawi,PH,8.0,124.29,1553755568.0,92.0,85.0,81.0,8.99
nizhniy kuranakh,RU,58.84,125.49,1553755996.0,8.0,46.0,19.34,3.6
markova,RU,52.21,104.21,1553755529.0,20.0,37.0,35.01,4.47
antofagasta,CL,-23.65,-70.4,1553752800.0,0.0,77.0,62.6,5.82
moskovskoye,RU,45.29,41.92,1553752800.0,75.0,73.0,33.8,15.66
umm kaddadah,SD,13.6,26.69,1553755997.0,8.0,15.0,68.12,11.32
puro,PH,13.13,123.76,1553755998.0,88.0,92.0,78.65,4.72
moron,VE,10.49,-68.2,1553755998.0,80.0,95.0,67.58,3.04
placido de castro,BR,-10.34,-67.19,1553755998.0,32.0,84.0,75.14,3.83
sambava,MG,-14.27,50.17,1553755999.0,76.0,100.0,80.36,8.19
tadine,NC,-21.55,167.88,1553755999.0,12.0,89.0,80.9,16.91
adamovka,RU,51.52,59.94,1553756000.0,92.0,95.0,31.85,15.9
